id;code;name;country;state;license;vatin
1;Isle;benchmark;BE;ACTIVE;Borders Montserrat backing;drive withdrawal Frozen
2;override Account Handcrafted;matrix;BE;TRIAL;backing drive Steel;Ball Metal Automotive
3;Martinique Quality e-markets;Central standardization;DE;CREATED;Customer Tuna architecture;Philippines
4;CSS;Computer Hat;BE;ACTIVE;monetize;compressing virtual
5;Grass-roots;Shoes Investment Extensions;FR;CREATED;protocol;Bacon architectures
6;invoice Borders composite;Alley;BE;CREATED;interactive local;Sausages Azerbaijanian
7;International Montserrat;bandwidth structure payment;BE;TRIAL;Arab;Customizable bricks-and-clicks unleash
8;optical Account;bypassing Central mobile;FR;TRIAL;bricks-and-clicks Keyboard;Coordinator
9;Assimilated blue;Buckinghamshire navigate;LU;TRIAL;Pa'anga;Center District
10;Corporate network;Account;DE;CREATED;Riel Shoes Dale;Jewelery auxiliary
